id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
80172865-1c4f-5bae-aa82-5994138cf177	20020131	1	900000000000207008	900000000000508004	900000000000028013	900000000000548007
805d39b6-428f-5b4b-83a6-8817b991d896	20190731	0	900000000000207008	900000000000508004	646032016	900000000000548007
8068fb4a-d66e-5620-b914-e51adf0e7570	20140131	1	900000000000207008	900000000000509007	2985223014	900000000000548007
80970f98-28ef-5045-9c43-01148482906a	20150131	1	900000000000207008	900000000000508004	3013810010	900000000000548007
80a928d1-b6c6-461f-942d-27d24eaf6e43	20200731	1	900000000000207008	900000000000509007	3902595016	900000000000548007
80d2ae93-7fcb-48dd-91b6-0de3aaad1ce9	20210731	1	900000000000012004	900000000000508004	4536724019	900000000000548007
80e81e63-b652-5c04-afb6-44f0733b346f	20020131	1	900000000000207008	900000000000509007	754733011	900000000000548007
81375d41-0252-5189-8554-fb3dce104e4d	20040131	1	900000000000207008	900000000000508004	2157587013	900000000000548007
81393f7d-9fb2-5c77-90f6-7d0bd7036bdf	20150131	1	900000000000207008	900000000000509007	3012789016	900000000000548007
8172697c-fdee-518e-b78f-de454767f4eb	20020731	1	900000000000207008	900000000000509007	1195424013	900000000000548007
82515ea8-2e87-5a2e-8a4b-d699aa5bc229	20020131	1	900000000000207008	900000000000509007	670811010	900000000000548007
82b830ad-b16d-4bab-87f5-7e3299e62291	20170731	1	900000000000012004	900000000000509007	3450372016	900000000000548007
836fb809-2be9-59d6-abb9-e7b211662a3e	20060131	0	900000000000207008	900000000000508004	541128013	900000000000548007
83e27b0c-8266-5bc4-9f39-1b2c1183ea78	20030731	1	900000000000207008	900000000000508004	1767901010	900000000000548007
83fcdb0e-8ac6-55b0-8f4f-21f9bb66f3f4	20020131	1	900000000000207008	900000000000508004	785715019	900000000000548007
842d96a2-5206-521c-8d28-695f51ee5014	20140131	1	900000000000207008	900000000000509007	2985192016	900000000000548007
85d64256-5194-5808-a48f-1cb8b169c873	20020731	1	900000000000207008	900000000000509007	1186756013	900000000000548007
85eb7b88-091b-5017-be31-fe36320cff48	20060131	1	900000000000207008	900000000000509007	2578009012	900000000000548007
85ee7149-fc59-5497-8656-6d75575d3d4f	20130731	1	900000000000207008	900000000000509007	2965688016	900000000000548007
86253ced-9d51-5fb4-96df-2271ac174a4c	20020131	1	900000000000207008	900000000000509007	730659016	900000000000548007
8659d26c-4512-5f9e-82dd-965e4872f41e	20040731	1	900000000000207008	900000000000509007	2470591017	900000000000548007
869862a8-d29f-5cd7-b9a5-8a274e96fb4a	20070131	1	900000000000207008	900000000000509007	2638633013	900000000000548007
86bbfce7-1525-4bc9-8249-a3d422e49156	20180131	1	900000000000207008	900000000000509007	3635490019	900000000000548007
86cee3dc-4420-56c1-8872-27e6b16038d6	20030131	1	900000000000207008	900000000000508004	1490773016	900000000000549004
872bfeec-e5d1-544d-931e-9e8ea7688692	20070131	1	900000000000207008	900000000000509007	2639118014	900000000000548007
87a1e374-2973-4ce9-bbf4-57b2c59b4ece	20170731	1	900000000000012004	900000000000508004	3475749019	900000000000548007
87c7ba73-91e9-5c62-a949-383e183c4c58	20020131	1	900000000000207008	900000000000508004	636064014	900000000000548007
87d9a14f-b4ab-41cb-afb3-8cc6745a1bd8	20190131	1	900000000000012004	900000000000508004	3728186017	900000000000548007
87dc1e48-d004-58f8-9532-136d1d3b6d6c	20020131	1	900000000000207008	900000000000509007	663993012	900000000000548007
8865e217-2aa6-52cd-b2b1-f3dd0f2c68ae	20020131	1	900000000000207008	900000000000509007	579145010	900000000000548007
886a1226-b64c-53c9-9e45-05e790a186f1	20070131	1	900000000000207008	900000000000509007	2638124010	900000000000548007
88c04360-14c9-528b-9803-20eeac4ca3ed	20020131	1	900000000000207008	900000000000509007	731408019	900000000000548007
88c2a386-591e-5a24-a7b2-2e63d6da0f28	20020131	1	900000000000207008	900000000000509007	636554012	900000000000548007
88ed34b7-9f49-5854-9e5f-3631c53f187a	20150131	1	900000000000207008	900000000000508004	3012793010	900000000000548007
89024be9-b434-5b5d-8e03-cd7eb2a0b5ac	20020131	1	900000000000207008	900000000000508004	762938010	900000000000548007
894ac0c0-3857-52bc-85b5-8dea311ec53b	20200131	0	900000000000207008	900000000000509007	2985165010	900000000000548007
899d1dcc-1900-4cfd-a7c2-f2b6dbcba396	20190131	1	900000000000012004	900000000000509007	3754721013	900000000000548007
8a20a5b9-376c-5567-bb7e-7071cf67618f	20070131	1	900000000000207008	900000000000508004	2643092018	900000000000548007
8a3c8f1f-ffc3-51e7-903d-10477ebb0d2d	20020131	1	900000000000207008	900000000000508004	680946014	900000000000548007
8a42c6c8-c0b5-4517-b151-a5eacd4708f5	20170731	1	900000000000207008	900000000000509007	3451173014	900000000000548007
8a5b0ca1-c71a-54a3-8a03-14a128123e21	20020131	1	900000000000207008	900000000000508004	762926018	900000000000548007
8adc503f-4856-5540-a81e-118060480d83	20030131	0	900000000000207008	900000000000508004	766540014	900000000000548007
8ae5731a-bca7-5a04-8370-d7a97a51d9e3	20040731	1	900000000000207008	900000000000508004	2466042012	900000000000548007
8b5ace59-dd90-5cf6-9041-8e8aa138de47	20070131	1	900000000000207008	900000000000508004	2638628014	900000000000548007
8b5fe922-39e2-5a6b-ac74-06df71941897	20020131	1	900000000000207008	900000000000508004	784886010	900000000000548007
8b8e7dcc-6905-54ba-9f3d-5c4f2fe1ad11	20020131	1	900000000000207008	900000000000508004	900000000000951010	900000000000548007
8b8ea0e5-f965-4bd0-add2-ce6fde26e2a3	20170731	1	900000000000012004	900000000000508004	3485961011	900000000000548007
8bbe337b-64e8-5f77-a701-c192f5aa087a	20020131	1	900000000000207008	900000000000509007	665309010	900000000000548007
8c54a431-96d5-570a-a353-da23f61d9eee	20020131	1	900000000000207008	900000000000508004	735569019	900000000000548007
8c9644fb-8efa-5bdc-bf53-3020f9ec6bff	20020131	1	900000000000207008	900000000000508004	181141018	900000000000548007
8cc75160-9772-5aae-84fe-d7d711c17b55	20020131	1	900000000000207008	900000000000508004	697704014	900000000000548007
8cfb40b9-0264-5f8d-b6e5-92cbce8bb587	20020131	1	900000000000207008	900000000000509007	380400010	900000000000548007
8d15f1b4-46e5-4d61-9094-0519d9f0457e	20170731	1	900000000000012004	900000000000509007	3475750019	900000000000548007
8d60ee51-3cdd-5ade-97dd-cd6497f1abef	20020131	1	900000000000207008	900000000000508004	485018016	900000000000548007
8d82e786-4c99-4e90-af5a-15b003e16d13	20170731	1	900000000000012004	900000000000509007	3485957017	900000000000548007
8dbff976-e458-591b-8630-9d1f85ca279d	20020131	1	900000000000207008	900000000000509007	680946014	900000000000548007
8dd09b9f-9b4a-5a1a-a200-1d714c68e94d	20040731	1	900000000000207008	900000000000509007	2464182017	900000000000548007
8ea285fa-a25c-59c0-9cba-17d5c95cefb5	20040731	1	900000000000207008	900000000000508004	2465962013	900000000000548007
