id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
10648763022	20190131	1	900000000000012004	774158006	762705008	0	116680003	900000000000011006	900000000000451002
10648803027	20190131	1	900000000000012004	774160008	762705008	0	116680003	900000000000011006	900000000000451002
10667903021	20190131	1	900000000000012004	774159003	762705008	0	116680003	900000000000011006	900000000000451002
10668402022	20190131	1	900000000000012004	774163005	762705008	0	116680003	900000000000011006	900000000000451002
11191840027	20190131	1	900000000000207008	67734004	70104002	0	116680003	900000000000011006	900000000000451002
11199456027	20190131	1	900000000000012004	774081006	733928003	0	116680003	900000000000011006	900000000000451002
11199459023	20190131	1	900000000000012004	733930001	774081006	0	116680003	900000000000011006	900000000000451002
11199462021	20190131	1	900000000000012004	733931002	774081006	0	116680003	900000000000011006	900000000000451002
11199463027	20190131	1	900000000000012004	733932009	774081006	0	116680003	900000000000011006	900000000000451002
11199464022	20190131	1	900000000000012004	733933004	733930001	0	116680003	900000000000011006	900000000000451002
11453494027	20210731	0	900000000000207008	109357005	53452003	1	363698007	900000000000011006	900000000000451002
11453495026	20210731	0	900000000000207008	109357005	86049000	1	116676008	900000000000011006	900000000000451002
11453560026	20210731	0	900000000000207008	363357005	255054007	0	116680003	900000000000011006	900000000000451002
11453561027	20210731	0	900000000000207008	363357005	367651003	1	116676008	900000000000011006	900000000000451002
11453562023	20210731	0	900000000000207008	363357005	53452003	1	363698007	900000000000011006	900000000000451002
11538732026	20190731	1	900000000000207008	43799004	699593001	0	116680003	900000000000011006	900000000000451002
12080344024	20200131	1	900000000000207008	39607008	714323000	0	116680003	900000000000011006	900000000000451002
12129361020	20200131	1	900000000000207008	816094009	420473002	0	116680003	900000000000011006	900000000000451002
12175984026	20200131	1	900000000000207008	67734004	816094009	0	116680003	900000000000011006	900000000000451002
12351414023	20200731	1	900000000000012004	836358009	762705008	0	116680003	900000000000011006	900000000000451002
12351415024	20200731	1	900000000000012004	827081001	762705008	0	116680003	900000000000011006	900000000000451002
12497990020	20200731	1	900000000000012004	840560000	762705008	0	116680003	900000000000011006	900000000000451002
12667275025	20200731	1	900000000000012004	860779006	762705008	0	116680003	900000000000011006	900000000000451002
12667403020	20200731	1	900000000000012004	860781008	762705008	0	116680003	900000000000011006	900000000000451002
12667405029	20200731	1	900000000000012004	320091000221107	762705008	0	116680003	900000000000011006	900000000000451002
13186672028	20210131	1	900000000000012004	1003703000	762705008	0	116680003	900000000000011006	900000000000451002
13187675024	20210131	1	900000000000012004	1003735000	762705008	0	116680003	900000000000011006	900000000000451002
13719246028	20210731	1	900000000000012004	1148793005	762706009	0	116680003	900000000000011006	900000000000451002
13728523024	20210731	1	900000000000012004	1148965004	762705008	0	116680003	900000000000011006	900000000000451002
13728524029	20210731	1	900000000000012004	1148967007	762705008	0	116680003	900000000000011006	900000000000451002
13728525028	20210731	1	900000000000012004	1148968002	762705008	0	116680003	900000000000011006	900000000000451002
13728610021	20210731	1	900000000000012004	1148969005	762705008	0	116680003	900000000000011006	900000000000451002
13763994028	20210731	0	900000000000012004	1149367008	860781008	0	116680003	900000000000011006	900000000000451002
13764011027	20210731	0	900000000000012004	1149366004	860779006	0	116680003	900000000000011006	900000000000451002
13800507026	20210731	1	900000000000207008	118222006	404684003	0	116680003	900000000000011006	900000000000451002
13823123027	20210731	1	900000000000207008	128121009	64572001	0	116680003	900000000000011006	900000000000451002
13823164021	20210731	1	900000000000207008	362965005	64572001	0	116680003	900000000000011006	900000000000451002
13823176021	20210731	1	900000000000207008	106028002	404684003	0	116680003	900000000000011006	900000000000451002
13823177028	20210731	1	900000000000207008	106048009	404684003	0	116680003	900000000000011006	900000000000451002
13823179025	20210731	1	900000000000207008	300848003	404684003	0	116680003	900000000000011006	900000000000451002
13823182024	20210731	1	900000000000207008	406123005	404684003	0	116680003	900000000000011006	900000000000451002
13823197022	20210731	1	900000000000207008	399902003	64572001	0	116680003	900000000000011006	900000000000451002
13824415026	20210731	1	900000000000207008	126637008	55342001	0	116680003	900000000000011006	900000000000451002
13824472020	20210731	1	900000000000207008	448708002	55342001	0	116680003	900000000000011006	900000000000451002
13833898022	20210731	1	900000000000207008	302292003	404684003	0	116680003	900000000000011006	900000000000451002
13890473025	20210731	1	900000000000012004	1149366004	762705008	0	116680003	900000000000011006	900000000000451002
13890474020	20210731	1	900000000000012004	1149367008	762705008	0	116680003	900000000000011006	900000000000451002
14658201027	20210731	1	900000000000012004	1142136003	762706009	0	116680003	900000000000011006	900000000000451002
14658202023	20210731	1	900000000000012004	1142137007	762706009	0	116680003	900000000000011006	900000000000451002
14658203029	20210731	1	900000000000012004	1142138002	762706009	0	116680003	900000000000011006	900000000000451002
14658204024	20210731	1	900000000000012004	1142135004	762706009	0	116680003	900000000000011006	900000000000451002
14658205020	20210731	1	900000000000012004	1142139005	762706009	0	116680003	900000000000011006	900000000000451002
14658206021	20210731	1	900000000000012004	1142140007	762706009	0	116680003	900000000000011006	900000000000451002
